POINT_COUNT: 50
[646.485168, 265.346313]		[43.723930, 223.931870]
[645.244873, 256.200562]		[43.196018, 214.939133]
[642.683777, 208.549576]		[39.752888, 168.364120]
[660.661682, 255.987564]		[56.716705, 214.546722]
[657.614929, 255.893417]		[54.166641, 214.579269]
[656.595032, 256.027008]		[54.166641, 214.579269]
[662.248840, 261.064880]		[58.941994, 219.420364]
[630.971130, 245.343063]		[28.933212, 204.046860]
[668.806946, 175.918121]		[64.157692, 136.486450]
[645.670776, 193.867722]		[42.525288, 153.959686]
[666.373840, 266.873993]		[62.472824, 225.254059]
[720.073425, 182.998795]		[111.172295, 144.137833]
[632.992188, 209.098907]		[30.516108, 168.313187]
[706.591003, 179.995178]		[98.198608, 141.140961]
[676.801453, 256.716644]		[71.853088, 214.983795]
[774.902222, 245.513596]		[159.906067, 203.960815]
[638.972717, 187.146805]		[36.110847, 147.267654]
[645.094666, 215.501953]		[42.076187, 174.844986]
[691.477966, 272.498962]		[85.746277, 230.646042]
[715.782715, 163.410446]		[107.013504, 125.678246]
[777.637756, 257.845093]		[163.240997, 215.803879]
[730.026245, 241.063751]		[120.256599, 199.967346]
[708.273010, 236.256470]		[100.560417, 195.611099]
[628.700806, 210.110794]		[26.687498, 169.469360]
[725.198730, 256.030975]		[116.332870, 214.129440]
[714.360474, 160.420975]		[105.589943, 122.624092]
[706.158325, 188.505066]		[98.028381, 149.697617]
[636.944580, 255.140640]		[34.300781, 213.993423]
[748.979675, 264.380310]		[137.066574, 222.144928]
[726.156677, 259.246307]		[117.197624, 217.383392]
[696.767151, 172.777145]		[89.057159, 134.253876]
[730.588928, 208.554001]		[120.517883, 168.810165]
[695.935486, 172.463394]		[87.875595, 134.134735]
[643.647278, 231.815842]		[40.800236, 190.925323]
[685.200989, 274.365784]		[79.384003, 232.383163]
[775.099365, 275.090973]		[160.812851, 231.738693]
[728.820984, 208.653046]		[118.862366, 168.920273]
[629.475647, 234.655716]		[27.665462, 193.079987]
[618.975159, 234.534866]		[17.194073, 193.222229]
[613.086670, 255.539703]		[12.141842, 214.266068]
[697.669312, 256.277222]		[91.147652, 214.413452]
[628.288452, 222.696976]		[26.348593, 182.065948]
[656.706238, 265.451385]		[22.851612, 223.386444]
[624.768066, 255.562149]		[23.548208, 214.224014]
[740.265930, 269.022064]		[129.331619, 226.402832]
[720.112610, 177.390015]		[111.014664, 139.295609]
[771.565430, 248.709320]		[156.261612, 206.804245]
[695.775940, 235.097916]		[89.198677, 193.980133]
[705.443481, 237.788116]		[98.287308, 196.665756]
[692.754028, 201.390381]		[85.400047, 161.829437]

H:
[1.161035537914048, 0.00935016044156706, -699.6225124261038;
 0.07001970079925066, 1.185256246442522, -87.13235700834419;
 0.0003550788344217914, -4.152050757539558e-005, 1]
