POINT_COUNT: 35991
[2806.684951 1073.262008]	[2518.754046 1004.135550]
[2806.182006 1073.612534]	[2519.586112 1004.437774]
[2806.276122 1074.031629]	[2520.873135 1004.756639]
[2806.473140 1074.462666]	[2522.238956 1005.078428]
[2806.427981 1074.505428]	[2522.347117 1005.114313]
[2806.585794 1074.747677]	[2523.542487 1005.266629]
[2806.773543 1074.956287]	[2524.904512 1005.375074]
[2806.952712 1075.229455]	[2526.259842 1005.546275]
[2807.120478 1075.587034]	[2527.606071 1005.799556]
[2807.288086 1075.947259]	[2528.952654 1006.055329]
[2807.457343 1076.296090]	[2530.301119 1006.299940]
[2807.620938 1076.687452]	[2531.645293 1006.585860]
[2807.778583 1077.123496]	[2532.984947 1006.915173]
[2842.428591 1083.380134]	[2563.741101 1009.777250]
[2843.082448 1083.582657]	[2564.613294 1009.893613]
[2839.951995 1082.607136]	[2560.419034 1009.331839]
[2840.979424 1082.930200]	[2561.804580 1009.518471]
[2837.460638 1081.792317]	[2556.965317 1008.854858]
[2838.961640 1082.287842]	[2559.060018 1009.145811]
[2837.056514 1081.658571]	[2556.400433 1008.776242]
[2807.934584 1077.572900]	[2534.323690 1007.257398]
[2808.091654 1078.014704]	[2535.663832 1007.592150]
[2808.249653 1078.451063]	[2537.005217 1007.921518]
[2808.410043 1078.870048]	[2538.349097 1008.233909]
[2808.578842 1079.227937]	[2539.700502 1008.486792]
[2808.752548 1079.550477]	[2541.056516 1008.705217]
[2808.921097 1079.911516]	[2542.408692 1008.961017]
[2809.083357 1080.320311]	[2543.756053 1009.263182]
[2809.242531 1080.752667]	[2545.101329 1009.588178]
[2809.404792 1081.162702]	[2546.449657 1009.891392]
[2809.573695 1081.525113]	[2547.804045 1010.148209]
[2809.746475 1081.859352]	[2549.162170 1010.377562]
[2809.915919 1082.219013]	[2550.517994 1010.631559]
[2810.079522 1082.622697]	[2551.869392 1010.928280]
[2810.241454 1083.039507]	[2553.219857 1011.237684]
[2810.405687 1083.440162]	[2554.572757 1011.531301]
[2866.454711 1094.517869]	[2606.646883 1016.889383]
[2866.473101 1094.532377]	[2606.697198 1016.899425]
[2867.101553 1095.020022]	[2608.396281 1017.236036]
[2867.732327 1095.508034]	[2610.097481 1017.572712]
[2868.381635 1095.998504]	[2611.812934 1017.910109]
[2868.996065 1096.485255]	[2613.502545 1018.246745]
[2869.700502 1097.155252]	[2615.770203 1018.718659]
[2869.935955 1097.426007]	[2616.665929 1018.912375]
[2869.515433 1096.961201]	[2615.121149 1018.580833]
[2870.334445 1097.888539]	[2618.194586 1019.243486]
[2870.783602 1098.356985]	[2619.761700 1019.575963]
[2861.878755 1091.102526]	[2594.666603 1014.541014]
[2862.682705 1091.608763]	[2596.495333 1014.881564]
[2863.274711 1092.029780]	[2597.983997 1015.169450]
[2863.369175 1092.101766]	[2598.235963 1015.219067]
[2863.990023 1092.587461]	[2599.927548 1015.554911]
[2864.588543 1093.070870]	[2601.602682 1015.890324]
[2865.193367 1093.555016]	[2603.282922 1016.225828]
[2865.829237 1094.043081]	[2604.986893 1016.562415]
[2871.291108 1098.832434]	[2621.372999 1019.910210]
[2871.817062 1099.310266]	[2622.998548 1020.245114]
[2872.325417 1099.786185]	[2624.611295 1020.579560]
[2872.771774 1100.255374]	[2626.177922 1020.912631]
[2873.609232 1101.418306]	[2629.950496 1021.754451]
[2873.749579 1101.622342]	[2630.609617 1021.902523]
[2874.075536 1102.078507]	[2632.087759 1022.232809]
[2873.129122 1100.714393]	[2627.678264 1021.243282]
[2873.437462 1101.168010]	[2629.142299 1021.572758]
[2874.385462 1102.532969]	[2633.554354 1022.562719]
[2874.634641 1102.980702]	[2634.975892 1022.891166]
[2874.807828 1103.420053]	[2636.341000 1023.217841]
[2874.939125 1103.854657]	[2637.675231 1023.543388]
[2874.333424 1100.872109]	[2642.225235 1020.426162]
[2873.698485 1100.097470]	[2641.758308 1019.738346]
[2871.593657 1098.376798]	[2640.200179 1018.267889]
[2875.092306 1104.291973]	[2639.026346 1023.869635]
[2875.308340 1104.736774]	[2640.425007 1024.197730]
[2875.548331 1105.184663]	[2641.842096 1024.526705]
[2875.756868 1105.628864]	[2643.236120 1024.854696]
[2875.530485 1103.808491]	[2643.087943 1023.133544]
[2875.432152 1103.295139]	[2643.020296 1022.651033]
[2871.331947 1098.230602]	[2640.005626 1018.149802]
[2869.404404 1097.272245]	[2638.571019 1017.393173]
[2867.170835 1096.489985]	[2636.904341 1016.830110]
[2864.886350 1096.081853]	[2635.194540 1016.628946]
[2862.566629 1095.930268]	[2633.454766 1016.676056]
[2860.232880 1095.881907]	[2631.702721 1016.823102]
[2857.897899 1095.842958]	[2629.949142 1016.979297]
[2855.563124 1095.802634]	[2628.195198 1017.134207]
[2853.226280 1095.776299]	[2626.439044 1017.302722]
[2810.574459 1083.808114]	[2555.929934 1011.793049]
[2810.747950 1084.142039]	[2557.291572 1012.021642]
[2810.925336 1084.447962]	[2558.656976 1012.222944]
[2811.103683 1084.747386]	[2560.023680 1012.417860]
[2811.276901 1085.086116]	[2561.386537 1012.650903]
[2811.445232 1085.461516]	[2562.745777 1012.919513]
[2811.615024 1085.826862]	[2564.106731 1013.178276]
[2811.784260 1086.197383]	[2565.467726 1013.441986]
[2811.944267 1086.636703]	[2566.821402 1013.772480]
[2812.097845 1087.124675]	[2568.170206 1014.150158]
[2812.257965 1087.564808]	[2569.524968 1014.481271]
